rank,suit,probs
2,Club,0.019230769230769232
3,Club,0.019230769230769232
4,Club,0.019230769230769232
5,Club,0.019230769230769232
6,Club,0.019230769230769232
7,Club,0.019230769230769232
8,Club,0.019230769230769232
9,Club,0.019230769230769232
10,Club,0.019230769230769232
J,Club,0.019230769230769232
Q,Club,0.019230769230769232
K,Club,0.019230769230769232
A,Club,0.019230769230769232
2,Diamond,0.019230769230769232
3,Diamond,0.019230769230769232
4,Diamond,0.019230769230769232
5,Diamond,0.019230769230769232
6,Diamond,0.019230769230769232
7,Diamond,0.019230769230769232
8,Diamond,0.019230769230769232
9,Diamond,0.019230769230769232
10,Diamond,0.019230769230769232
J,Diamond,0.019230769230769232
Q,Diamond,0.019230769230769232
K,Diamond,0.019230769230769232
A,Diamond,0.019230769230769232
2,Heart,0.019230769230769232
3,Heart,0.019230769230769232
4,Heart,0.019230769230769232
5,Heart,0.019230769230769232
6,Heart,0.019230769230769232
7,Heart,0.019230769230769232
8,Heart,0.019230769230769232
9,Heart,0.019230769230769232
10,Heart,0.019230769230769232
J,Heart,0.019230769230769232
Q,Heart,0.019230769230769232
K,Heart,0.019230769230769232
A,Heart,0.019230769230769232
2,Spade,0.019230769230769232
3,Spade,0.019230769230769232
4,Spade,0.019230769230769232
5,Spade,0.019230769230769232
6,Spade,0.019230769230769232
7,Spade,0.019230769230769232
8,Spade,0.019230769230769232
9,Spade,0.019230769230769232
10,Spade,0.019230769230769232
J,Spade,0.019230769230769232
Q,Spade,0.019230769230769232
K,Spade,0.019230769230769232
A,Spade,0.019230769230769232
