group,outcome
treatment,survived
control,survived
control,died
control,died
control,died
treatment,survived
control,died
control,died
treatment,died
treatment,survived
treatment,survived
control,survived
treatment,survived
treatment,died
treatment,survived
treatment,died
control,died
control,died
control,survived
control,died
treatment,survived
control,died
control,survived
control,died
treatment,died
treatment,died
treatment,survived
treatment,died
control,died
control,died
control,died
control,died
treatment,died
control,died
control,died
treatment,died
treatment,died
treatment,died
treatment,survived
control,survived
control,died
control,died
control,survived
treatment,died
control,died
treatment,survived
treatment,died
control,died
treatment,survived
control,died
control,survived
control,died
control,died
control,died
control,died
control,died
treatment,died
control,died
control,died
control,died
treatment,died
treatment,died
control,died
control,died
treatment,died
treatment,survived
treatment,died
treatment,died
control,survived
treatment,died
control,died
treatment,died
control,died
control,died
control,died
treatment,died
control,died
control,survived
treatment,died
control,survived
control,survived
control,died
treatment,died
treatment,died
treatment,died
treatment,survived
treatment,survived
control,died
treatment,died
control,died
