gender,decision
female,not_promoted
female,not_promoted
male,promoted
female,promoted
female,promoted
female,promoted
male,promoted
male,promoted
female,not_promoted
male,promoted
male,promoted
male,promoted
male,not_promoted
male,promoted
female,promoted
male,promoted
male,promoted
female,not_promoted
female,promoted
female,not_promoted
male,promoted
male,promoted
female,promoted
male,promoted
female,promoted
female,promoted
male,promoted
male,promoted
male,promoted
female,not_promoted
male,not_promoted
female,promoted
female,promoted
female,not_promoted
male,promoted
female,not_promoted
male,promoted
female,not_promoted
male,promoted
female,promoted
male,not_promoted
male,promoted
female,promoted
female,not_promoted
female,promoted
female,promoted
male,promoted
male,promoted
