spam,to_multiple,from,cc,sent_email,time,image,attach,dollar,winner,inherit,viagra,password,num_char,line_breaks,format,re_subj,exclaim_subj,urgent_subj,exclaim_mess,number
not spam,0,1,0,0,2012-01-01T06:16:41Z,0,0,0,no,0,0,0,11.37,202,HTML,0,0,0,0,big
not spam,0,1,0,0,2012-01-01T07:03:59Z,0,0,0,no,0,0,0,10.504,202,HTML,0,0,0,1,small
not spam,0,1,0,0,2012-01-01T16:00:32Z,0,0,4,no,1,0,0,7.773,192,HTML,0,0,0,6,small
not spam,0,1,0,0,2012-01-01T09:09:49Z,0,0,0,no,0,0,0,13.256,255,HTML,0,0,0,48,small
not spam,0,1,0,0,2012-01-01T10:00:01Z,0,0,0,no,0,0,2,1.231,29,text,0,0,0,1,none
not spam,0,1,0,0,2012-01-01T10:04:46Z,0,0,0,no,0,0,2,1.091,25,text,0,0,0,1,none
not spam,1,1,0,1,2012-01-01T17:55:06Z,0,0,0,no,0,0,0,4.837,193,HTML,0,0,0,1,big
not spam,1,1,1,1,2012-01-01T18:45:21Z,1,1,0,no,0,0,0,7.421,237,HTML,0,0,0,18,small
not spam,0,1,0,0,2012-01-01T21:08:59Z,0,0,0,no,0,0,0,3.051,69,text,0,0,0,1,small
not spam,0,1,0,0,2012-01-01T18:12:00Z,0,0,0,no,0,0,0,2.643,68,HTML,0,0,0,0,small
not spam,0,1,0,1,2012-01-01T18:23:44Z,0,0,0,no,0,0,0,0.869,25,HTML,0,0,0,2,small
not spam,0,1,1,0,2012-01-01T21:40:51Z,0,0,0,no,0,0,0,4.02,79,text,1,0,0,1,small
not spam,0,1,0,0,2012-01-02T03:00:18Z,0,0,0,no,0,0,0,10.459,191,HTML,0,0,0,0,big
not spam,0,1,1,1,2012-01-01T19:38:32Z,0,0,0,no,0,0,0,15.075,354,HTML,1,0,0,10,small
not spam,0,1,2,0,2012-01-01T23:32:53Z,0,0,2,no,0,0,0,19.693,330,HTML,1,0,0,4,big
not spam,0,1,1,1,2012-01-01T23:40:14Z,0,0,0,no,0,0,0,18.38,481,HTML,1,0,0,10,small
not spam,0,1,0,0,2012-01-02T05:42:16Z,0,0,5,no,0,0,1,18.037,345,HTML,0,1,0,20,small
not spam,0,1,2,0,2012-01-02T00:54:46Z,0,0,0,no,0,0,0,13.89,225,HTML,1,0,0,0,small
